cid,name,mythology,birthday,birthday_unlock,height,height_unlock,body_shape,body_shape_unlock,mbti,mbti_unlock,tendency,tendency_unlock,personality,personality_unlock,personality_word,personality_word_unlock,preferences,preferences_unlock,ideal_type,ideal_type_unlock,vow_word
2070,Zodiac Tiger,Special Gods,7-17,500,164cm,1000,B95·W58·H89,1000,ENFP - The Campaigner,200,Chaos - Neutral,500,"Determined, reckless, lively",500,"There are quite a lot of strong people in this world, and having a few exciting fights with them is a good way to kill time.",3000,"Martial arts, fighting, eating contests",1500,"A strong, confident, straightforward person who can fight with himself every day",1500,Uh... What a hassle! It's better to fight against rivals rather than make vows!
2071,Capricornus,Special Gods,12-25,500,174cm,1000,B101·W59·H95,1000,INFP - The Mediator,200,Chaos - Selfless,500,"Selfish, literary, elegant",500,This awakened power will become the key to guiding the fate of the gods and world peace!,3000,"Opera, music, swimming, reading, writing fairy tales",1500,Someone like the Prince Charming in fairy tales,1500,"A vow is a kind of sacrifice, which means that from now on, we will live by one faith. I hope that our powers combine so that we can create a world worth fighting for."
2073,Pisces,Special Gods,3-22,500,164cm,1000,B99·W59·H94,1000,ESFP - The Entertainer,200,Chaos - Neutral,500,"Artistic, innocent, lively",500,Our journey is to the sea of stars!!,3000,"Watching musicals, fashion design, swimming, fortune-telling, sailing trips",1500,Someone who is adventurous and willing to travel around the world with me,1500,Eh?! This contract can prove our relationships. Let me see what’s on it...Uh...what a hassle! It’s difficult to understand the ancient script.
2074,Venus,Greek Gods,3-22,500,167cm,1000,B108·W60·H95,1000,INFP - The Mediator,200,Neutrality - Solipsistic,500,"Artistic, gentle, elegant",500,"The only difference between love and war is...there are never winners in war, but there are never losers in love.",3000,"Fashion design, antique and jewelry collecting, reading, sculpture, opera",1500,The most beautiful person in the world,1500,"When we made this vow, our minds mingled, and I could read your thoughts. Have you always had such wild and daring desires for me, my dear?"
2075,Zeus,Greek Gods,1-1,500,167cm,1000,B103·W60·H92,1000,ESTJ - The Executive,200,Neutrality - Solipsistic,500,"Humor, courage, selfishness",500,"In my opinion, war is just a pastime between the strong!",3000,"Love, adventure, drinking, traveling, and throwing big parties",1500,"Someone with a distinguished background, a long-term vision, wisdom, and someone who is willing to work with me",1500,You are the first person in ages to be worthy of making a vow with me.
2076,Loki,Norse Gods,4-1,500,165cm,1000,B104·W61·H96,1000,ENFP - The Campaigner,200,Chaos - Solipsistic,500,"Humor, optimism, changeability",500,"Don't worry, dear, we still have plenty of time tonight...",3000,"Pranks, entertaining children, opera, music, studying magic",1500,The one who successfully deceived her with lies and tricks,1500,"I enjoy making everyone fall under my charm, but I never imagined that I would fall under yours. You are full of surprises!"
2077,Thor,Norse Gods,11-25,500,166cm,1000,B102·W60·H92,1000,ESFP - The Entertainer,200,Neutrality - Solipsistic,500,"Humor, domineering, optimistic",500,Capture people's hearts with charm and drive away darkness with strength.,3000,"Drinking, attending grand banquets, sword fighting",1500,Someone who can fight alongside her and protect Asgard until Ragnarok comes.,1500,"In the presence of others, I demonstrate only my mighty power. But only before you will I show my gentleness. I hope we can join hands and bring peace to this world!"
2078,Apollo,Greek Gods,8-5,500,168cm,1000,B99·W59·H91,1000,INFJ - The Advocate,200,Order - Solipsistic,500,"Artistic, brave, straightforward",500,"There are not many mortals who dare to look me in the eye, but none of them are strangers to the light.",3000,"Music, dance, opera, painting, treasure collecting, flower cultivation",1500,The man who could create the greatest work of art,1500,"I once hoped that my radiance could shine up everyone. But now that we have made this vow, my glowing light will belong to you alone."
2079,Sakura Spirit,Japanese Gods,3-3,500,159cm,1000,B97·W58·H90,1000,INFP - The Mediator,200,Neutral - Neutral,500,"Artistic, innocent, gentle",500,Spring is the happiest season of the year because there is nothing more beautiful than the cherry blossoms scattering in the spring breeze.,3000,"Dancing, brewing, music, flower planting, participating in grand festivals",1500,"A pure, kind, versatile person without any ulterior motives",1500,"This day finally come. I am so happy! From now on, I will only bloom for you till the end of my life."
2080,Zodiac Rabbit,Special Gods,7-7,500,160cm,1000,B94·W58·H91,1000,ESFP - The Entertainer,200,Chaos - Selfless,500,"Humor, gentleness, liveliness",500,Ah! It's another sunny day. Take me for a walk. Maybe I can dig some carrots on the way.,3000,"Sports, crafts, cooking, pastry baking",1500,A man with a huge carrot farm,1500,Are you the human who wish to vow to me? I will accompanied by your side from now on. Remember to come and see me if you got the time!
2081,Horus,Egyptian Gods,8-17,500,167cm,1000,B100·W59·H91,1000,INTP - The Logician,200,Order - Neutral,500,"Firm, steady, gentle",500,"Looking into the distance, at the end that is beyond the reach of the eyes, may be the place where fate cannot control.",3000,"Reading, bathing, history, raising small animals",1500,"A person who is honest, seeks truth, and has the courage to accept his fate",1500,"I used to believe that no one in this world could make my heart flutter, until I met you."
2082,Frigga,Norse Gods,11-17,500,164cm,1000,B103·W59·H94,1000,ISFJ - The Defender,200,Chaos - Solipsistic,500,"Capricious, selfish, willful",500,The pain brought by thorns is also an unforgettable enjoyment...,3000,"Flower cultivation, opera, reading, dance, architecture",1500,Someone who is crazy about opera art and can write excellent scripts,1500,I plucked all the flowers from the rose garden to make a path for you… I hope you will love everything here…
2083,Ares,Greek Gods,4-23,500,169cm,1000,B101·W58·H91,1000,ENFJ - The Protagonist,200,Chaos - Solipsistic,500,"Reckless, brave, straightforward",500,"When facing a battlefield, the weak always have reasons to escape, while the strong have no fear at all!",3000,"Weapon and armor collection, sword fighting, challenge the gods",1500,The first person to conquer the divine world,1500,"Hmm… I know there are countless people who covet you, but you are a rare prize that no one can take away from me."
2084,Uriel,Hebrew Gods,4-30,500,164cm,1000,B101·W60·H96,1000,ESFP - The Entertainer,200,Order - Solipsistic,500,"Literary, humorous, gentle",500,Do you like my dancing? Maybe I can do a little... more daring dance just for you.,3000,"Dancing, drinking, and throwing big feasts",1500,A person who can keep up with her dance moves and is willing to be her dance partner.,1500,"I await the moment to step onto the stage with you, anticipating the time when demons, angels, and humans will cheer for us together. You once brought me freedom, and I shall be your eternal partner."
2085,Zodiac Dragon,Special Gods,7-12,500,161cm,1000,B93·W59·H90,1000,ENTP - The Debater,200,Neutrality - Selfless,500,"Lively, innocent, smart",500,Huh...it's time to rain again! How about I make a few loud thunders to liven up the atmosphere?,3000,"Astrology, divination, reading, dancing",1500,People who are not afraid of thunder,1500,"Engrave your name on this Dragon Ball, the sacred symbol of our pact! As per the ancient tradition of the Eastern Dragon lineage, our souls shall unite as one!"
2086,Hela,Norse Gods,12-21,500,169cm,1000,B101·W59·H96,1000,ISTJ - The Logistician,200,Order - Neutral,500,"Intelligent, calm, humorous",500,Your... seems to be smarter than I thought. Are you interested in accepting eternity with me?,3000,"Human studies, magic studies, astrology, history, handicrafts",1500,Someone who is willing to give up everything in order to explore the truth.,1500,"In the name of the Lord of the Dead, I am willing to reach your soul, to forge an eternal pact, to cross the curtains of life and death, and to reach the distant shore on the other side..."
2087,Prometheus,Greek Gods,2-1,500,168cm,1000,B100·W59·H93,1000,ENFP - The Campaigner,200,Chaos - Selfless,500,"Humorous, gentle, and upright",500,"Heh, if borrowing a little fire was enough to anger Zeus, I wonder what would happen if I returned with some thunder and lightning.",3000,"Enjoys treasure collecting, cooking, traveling, fortune telling, astrology, and studying humans",1500,Willing to sacrifice themselves to uphold their ideals of righteousness,1500,"You unlocked the prison where the gods had confined me, yet I willingly placed the chains of bondage upon myself for you. Fate truly is an inexplicable force..."
